,commentBody
1293,"Corporate policy has been - for many years by my experience  - a policy of 'burn the bridges', forcing customers to buy new products rather than fixing the existing item(s). 

Initial CAD - computer assisted design - systems users were the large companies that could afford to spend millions for the product.  

Our product was never thoroughly tested and we experienced a flood of problem reports after each new software revision release.

Companies still rely upon the customers to test their products. 

The ultimate of customer 'push-back' came over 25 years ago when a customer insisted upon seeing the open software problem reports and get the problems fixed before it would sign the contract.  I was the project manager for that project initiated by the corporate vice president of sales, resulting in weekly conference calls to the customer updating our progress. 

The same policy exists today, but it encompasses a far greater range of customers as the product is now available to small businesses.

In general, unless it has changed, software developers are not trained in problem-solving techniques, which, by my experience, involve an in-depth knowledge of the lowest level computer instructions and operating system architecture, especially when these elements can have flaws."
1294,"Yes, 10 years. It was 2009 that Facebook figured out how it could get rich by selling its users to advertisers. That's when you became its product.

<a href=""https://www.statista.com/statistics/271258/facebooks-advertising-revenue-worldwide"" target=""_blank"">https://www.statista.com/statistics/271258/facebooks-advertising-revenue-worldwide</a>/

From <a href=""https://en.m.wikipedia.org/wiki/History_of_Facebook"" target=""_blank"">https://en.m.wikipedia.org/wiki/History_of_Facebook</a>:

> Facebook hired Sheryl Sandberg as its Chief Operating Officer in March 2008. Sandberg is reported to have held a number of brainstorming sessions with Facebook employees on their long-term monetization strategy, which led to the conclusion that advertising would be the main source of monetization. Under Sandberg's leadership, Facebook made a number of changes to its advertising model with the aim of achieving profitability. In September 2009, Facebook stated that it had turned cash flow positive for the first time.

But another history (written in 2012) places the major change in 2012:

<a href=""https://www.theatlantic.com/technology/archive/2012/12/2012-year-facebook-finally-tried-make-some-money/320493"" target=""_blank"">https://www.theatlantic.com/technology/archive/2012/12/2012-year-facebook-finally-tried-make-some-money/320493</a>/"
1295,"I usually love the NYTimes, but this piece definitely feels like form over function. Would bet a beer that more people would read it if they didn't have to click it a bazillion times to get to the info. 

And, I agree, it hasn't been the best decade in tech. Lots of mistakes by the industry. But there are many really smart people working on complex and important issues. I am grateful for their contributions to our world."
1296,"Tech has absolutely not lost its way. It is on the same path it has always been on, the same path as any corporation: maximize profits! In the process it quite naturally spent lots of money peddling snake oil to the masses, claims about how tech would inherently be a force for good.

Like any other tool, tech can be used to help and to hurt.  Encouraged by tech corporation public relations, people understandably self-deluded into not believing reality, namely that the bad guys are as smart as the good guys and often more motivated.

As George Strait sang in 1986:

""I got some ocean front property in Arizona
From my front porch you can see the sea
I got some ocean front property in Arizona
If you'll buy that I'll throw the golden gate in free.""

So now we have elections that can be hacked, a nuclear command and control structure dependent on chips made in China with whatever clandestine control code Xi Jinping mandates, an electric grid that can be taken down, TEXTing drivers killing more people than 9/11 terrorists, and unemployment for suicide bombers, as drones and self-driving cars make their occupation redundant.

And we now have the ""democratization of truth"" compliments of the internet: i.e. ""alternative facts."" The internet: a place where anybody can say anything, where editing for quality and verifiability is dismissed as ""so 20th century.""

Yes, let's all hail the tech mantra, ""Disruption = Progress"", the concept that brought us Donald Trump as President."
1297,"Thanks for telling us how to get the transcript. I don't watch videos. I get the paper to read, which is so much faster. I know, so 20th century..."
1298,"So, someone got a bit carried away on the whole clickable thing. (Go ahead, say it - ""Ok boomer."")

I had to switch to a browser I don't typically use because your design required pop-ups (or something similar). 

The info was interesting, but would have served me better if presented in a more typical print-like fashion."
1299,"The blurbs forgot ""free"". The internet was never free; moreover, it's more expensive than most people imagined. For all the tweets, instagrams, vines, and pages, all you did was give up any privacy you thought you had."
1300,This piece also needs to mention the FCC reversing course on Net Neutrality in 2017-2018 under the leadership of Ajit Pai in a 3-2 party-line vote!
1301,"I've commented a lot, but I have just one more thought.  Whatever problems there are with internet technology are the same for anything that you try to make broadly available to the masses.  Read any list of consumer reviews, and you often find a majority complaints come from people who don't know that they're doing. We have almost ubiquitous computing technology use but a dearth of tech savviness.  

Many of the complaints seem to be akin to blaming auto manufacturers for not preventing bad or irresponsible drivers from getting behind the wheel.  Is it really up to them?  In fact, there's an  even more compelling case for taking car companies to task--they are, after all, peddling their wares to millions of people who should not ever be trusted with public or their own personal safety.  But that would be ludicrous.  In that light, the outrage against tech companies is a little weird.  It's hardly ever directly life or death, certainly not to the extent of the daily carnage on our roads, and on net contributes to our safety and well being in many ways we take for granted.  Remember this the next time you're not hopelessly lost somewhere or need a ride in an emergency.

Perspective and priorities people."
1302,When big tech redefined connection as being about access and compassion died.
1303,"Ever notice how the two recent tech phenomena that have the greatest influence on our daily lives -- cellphones and social media -- and were supposed to ""bring people together"", were spawned by two aloof, Aspbergery type of guys, Steve Jobs and Mark Zuckerberg?"
1304,Kudos to The Times IT security department. I couldn't hack the links to the articles.
1305,"This is an excellent piece, but I cannot help but feel that the oral history of tech in the preceding decade is not complete without mentioning the compelling and tragic story of Aaron Swartz. Mr. Swartz was young but influential person who acted in crowds where technology and politics intersect. Mr. Swartz inspired numerous other well known luminaries yet tragically took his own life when a heavy-handed prosecutor sought to imprison him for much of his life. Aaron Swartz was a gifted young man who used his gifts to make the Internet and the world a better place. His story is not only one in which tech which lost its way, but one of how American Justice lost its way. It strikes me as particularly relevant in these times."
1306,"""Tech"" means different things to different people - wrong to use one label to cover disparite companies. The only thing in common is that the companies identified as ""Tech"" are businesses - i.e., their goal is, and has always been, to make money.  They are not, and never were, in business to make the world a better place."
1307,"""The problem is fixed on our new version.  Buy it now."""
1308,"I see a bunch of animated icons, but no interviews. Nothing happens when I click on the icons. 

Seems emblematic of a story of how tech failed us in this decade, doesn't it? I viewed this story on a Mac running the Firefox browser. I use a bunch of adblockers and javascript filters. If I was using the Times app on an iPad, I imagine everything in this story would work as promised. 

Technologically speaking, the internet seems to work best for people who trust the most.  It works poorly for the skeptic. A devout skeptic has to practically be a security guru and IT pro to use the internet. 

Interestingly, a news organization probably functions best when run by skeptics. 

Congratulations on publishing the most ironic story of the 2010s!"
1309,"Tech used to be the hardware that made the net run. Servers, routers, repeaters, and all the other parts that actually move the bits around were new and exciting, and better ones were being developed all the time.

Now that stuff is a commodity that most people rent from Amazon, or that the services they use rent from Amazon. Now days, the focus is on the software platforms and the applications that drive the markets. It's not just the social media platforms, it's the customer contact software that your dentist uses to wish you a happy birthday, and the database that Facebook uses to track your browsing habits and sell to advertisers. It's the interconnected bank software that runs the ATM, does the job of 20 tellers, and lets you look at your statements online (I hope you have good security!).

What can all that tech do for humans, and how can it be monitized? That's what tech means today, unlike 20 years ago when we were developing the hardware to support all that software."
1310,"Funny, because tech was previously about automation, of reducing human input to gain the same or more output.

Once tech was used for mass human communications, where human ideas could easily be spread, where tech was not for automation but for social media, we discovered that human input is often a source of conflict and control."
1311,"There should be a square here for the electronic coup d'etat that took place.  Dissent, opinion and public discourse once reigned in the engineering environment for software, hardware and chips.  Today that is gone.  Any dissent in form of inventions, standards and methods is now fully scrutinized within the engineering and software professions.  Dissent is primarily managed by academic and professional blackballing and other punitive measures.  That is, in every country fortunate enough to have the technological means to do so.

The current situation that we find ourselves in is indistinguishable from a military coup d'etat.  It is the first coup d'etat secured through the internet of things."
1312,"Only suckers believed the hype.  Suckers still do.  Not every opinion has equal value.  Being electronically connected isn?t community.  Spending endless time staring at devices doesn?t improve productivity.   The internet and smartphones are simply selling distraction, disassociation, misinformation, a false sense of agency.   Children can barely socialize, the physical world goes largely ignored, the rabble have been roused.   But a few clever conmen get to be billionaires."
1313,"I worked in the industry in 1972-74, when ""tech industry"" meant a technical industry making real products for a better life, not just a building full of software manipulators.

Please separate the two."
1314,"From my view, the title of this analysis is wrong. I prefer to say:
""The Decade Tech Changed Its Way"""
1315,"We are hardly living in or approaching some kind of dystopian nightmare.  

Major publishers and newspapers hate technology.  We get it.  It's toppling the regional, national, and international media oligopolies.  But these were the aberrations in the first place.  

The free press was always envisioned to be truly democratic.  It was always about the government against some little pamphleteer, not some media conglomerate with more money and power than may of the entities it reports on.  

I can't say that social media propaganda to an intelligent person is any more of threat in terms of warping our perceptions of reality than other media.  Writing and all creative media are and will always be unreal.   At least now I get to hear and read about many different perspectives.  I find myself learning a lot by disagreeing.

I agree that we should worry about privacy, but the business model for all this is built on marketing, and we collectively chose that.  It's really a symptom of the existence of marketing and our desire to get things for free.  I'm not blaming tech companies for that."
1316,Capitalism corrupts everything that it touches. Nothing new here.
1317,"This is great.  A collaboration with young Kwame Onwuachi and Roy Choi seems to be in order.  
Let us see that happen."
1318,I can feed my family and fill my car with gas for a week on less that $185.
1319,"This story resonates with me.

We lived in Brooklyn for many years and belonged to a well-known black civic organization. My husband is a chef and one year they asked my husband to cater a small event. When I gave them a quote, they turned us down flat because they thought our price was too high -- ""Chicken only costs 59 cents a pound!"" -- was how they put it.  Instead they solicited food donations and we contributed.
We opened our restaurant in 2008 and established a group of regulars that included several customers who politely, yet insistently shared THEIR vision for OUR restaurant. ""You should do this, not that; more of this, less of that."" No one worked in food and beverage. Instead they thought unconsciously or not, that these two black business owners needed help. Never once did they ask about our 30 years experience or business plan. To presume that you have the right to offer unsolicited advice, and that we should be grateful for your recommendations is insulting.  Now, could there be other explanations for these behaviors that aren't white privilege in action? Anything's possible.

The challenge for black business owners and the chef profiled here is the perception of value. Customers evaluate the merits of our product or service. The intersection of race, ambition, wealth and fame contribute to unconscious bias: stereotypes in favor of or against a person or group as compared to another.

Bias doesn't make us bad. It makes us human. New behaviors are possible."
1320,"Kwame Onwuachi, come and visit Hyde Park in Boston sometime. We have so many restaurants from these same roots and they are not fancy or expensive (yet). Good people, great food."
1321,Good food is good food. Not black or white. Coming back from failure is the best guide of what type of a person one is. Congrats.
1322,"I am embarrassed that this article appeared in the New York Times. The chef and the author appear to have no basic understanding of the business of restaurants. Per the chef, ""If I were more experienced in business, if I had asked about the budget in the beginning,? he said. ?We were on our way to making strides. But instead of asking the right questions, I was excited in the moment.? What was the partner's comment on this statement? Or did you even bother to ask?  No investor / partner just throws their hands up in the air and dissolves the business, usually unless the inexperienced chef's ego or ignorance has caused the project to fail financially.  Playing with other people's money is easy; creating a real business based upon more than magazine awards is difficult.  I wish this young chef well, but his attempted direction of this article warns that he is much more concerned with the PR than with the success of the business. It is a simple formula for a hotel to hire in a chef with PR potential, as they have nothing to lose when they dissolve the agreement and move on to another chef. I'd bet $100 that this young cook has yet to create a simple P&L for his kitchen.  Of all the talented, successful chefs in America, it is baffling why the NYT would dedicate so much space to a chef that has only failed thus far.  It is even sadder for all of those deserving chefs that will never appear in these pages, including those in this article that warranted only a brief mention."
1323,"Hmmm. I'm not sure the author of this piece read the WaPo review of Shaw Bijou.( As a former resident of DC, I did and recall the fanfare and expectations surrounding its opening.) That critic didn't ""pan"" the restaurant, but praised it and the chef and his cooking in many ways. 
Ultimately though, the critic and his three guests felt that the experience was not worth nearly $2,000 with wine, tax, and tip. And, they were all hungry after the meal. Even a meal for four at Citronelle, run by Michel Richard, was less than half that, and we didn't leave hungry."
1324,"There's a reason that new restaurants, especially a one-off, have a high failure rate in their first one-to-three years. One of the biggest problems for new restaurants is that people open them, oft times at the urging of friends and others, because they are ""great cooks"" or they ""love to cook and make people happy.""  Consequently they get caught up in the idea and become trapped by their own and others' enthusiasm.  

The reason to start a business, such as opening a restaurant, is because You Want to Run a Successful Business.  That's a whole different orientation and skill set than being a ""great cook.""  If you ""just"" want to cook or the most important thing to you is cooking, go work for someone who wants to run a successful business. You do what you do best, they do what they do best.  That's a point too often missed in training programs."
1325,"I?m glad he?s bounced back, but I found it rather ludicrous that someone would hand a blank check to open a multi-million dollar restaurant to someone with so little experience. A couple of stints at high end restaurants doesn?t mean you?re in any way ready to lead a large scale project. And being seen on Top Chef adds absolutely nothing to one?s skill set. No surprise the restaurant didn?t last."
1326,"?There is a ceiling for chefs of color that I want to change,? Mr. Onwuachi said. ?I can give people opportunities to move up.? 

""He is well aware that few black chefs have been granted such recognition. For years, he said, it irritated him that only white men were hailed as the culinary greats whose restaurants young cooks would have to pass through in order to succeed.""

While I agree with much of what Mr. Onwuachi states, I must point out that a trend has been increasing in which black chefs have been recognized with the prestigious James Beard award, notably Edouardo Jordan (Best new Restaurant - Junebaby in Seattle), Dolester Miles, Rodney Scott, and Bryant Terry - just to name a few.

Granted, the progress has been barely a trickle for a long time, and a change of mindset has been long overdue.  However, I cannot help but think major cracks in ""the ceiling for chefs of color"" have begun and will continue to grow and expand and flourish.

I applaud the efforts and commitment of Mr. Onwuachi in wanting to ""give people opportunities to move up.?

I wish him continued success in his career and sincerely hope he finds the fulfillment, enrichment and inner peace in every endeavor his pursues."
1327,"Let?s see the expression ?kith and kin? comes from old English like Chaucer used to mean family and friends.

It?s the name of a restaurant in DC that serves Caribbean and Louisiana fare.

Interesting."
1328,"Leave the awful Maggi seasoning cubes out of zour food and replace them with natural ingredients, I would say to the chef. ""The Andhra Pradesh Government also banned Maggi foods. Also on June 5, 2015, the Food Safety and Standards Authority of India (FSSAI) ordered a recall of all nine approved variants of Maggi instant noodles and oats masala noodles, suggesting that they were unsafe and hazardous for human consumption."" .Wikipedia"
1329,"""The goat roti at Kith and Kin ? chunks of meat and potatoes seasoned effusively with warm spices...""

Is ""da bomb"".....it's worth every succulent bite and slurp which at times (at least for me) kind be messy dish with the roti bread that sits in a bowl. There is always nothing left....

Congrats Kwame Onwuachi...!"
1330,"I had never heard of Mr. Onwuachi before this article and I live in the DC metro area so now I can be a direct beneficiary  of reading this article.

I wish you well, Mr. Onwuachi ."
1331,"""Here, in 1838, Georgetown University infamously shipped off 272 enslaved African-Americans that it had sold to pay off its debts.""

Georgetown University never actually sold any eslaved African Americans... since the University itself never enslaved anyone.  Thank you for not referring to them as ""slaves,"" but even the linked article is careful to state that the Society of Jesus, who ran the school, were the ones who enslaved and later sold the 272.  Georgetown was a third party beneficiary to the transaction, as were other entities then owned by the Society of Jesus.

That being said, I'm happy to read of Mr. Onwuachi's return, and may just give his restaurant a try to see just how much of his Trini grandparent's influence has survived the transition into his kitchen."
1332,"This is a great article!  And, so well written.  The author's words  infused my mind with the wonderment of it all.  Kudos to the author and Chef Onwauchi!"
1333,"Great story. Inspirational. Cover your hair when you cook, please."
1334,"Chef Onwuachi is clearly smart and talented, but he also deserves the most valuable praise there is, from my point of view: he's demonstrated remarkable self-awareness, especially in these perfection-driven, Instagram-exposed times - and he's learned from his mistakes."
1335,Mr. Onwuachi and his kitchen staff should learn to cover their hair.
1336,"Great story. Hopefully, all plays out for him and he keeps his head clear and not get too starry eyed. With success, the fame will come."
1337,"Praise for the photos. They reveal really good food.

I'd love to dine there. Maybe some day............."
1338,"""Systemic Racism"" at Eleven Madison Park?  Hardly: the chef and owner has two African-American children.  

If Mr. Flint actually said that, it was probably a sardonic truism.

People need to relax a bit."
1339,Maggi seasoning cubes ? No thank you!
1340,What a great story! Color me uplifted & rooting for Kwame Onwuachi!
1341,"Clearly, at the young age of 25, we was given far more responsibility than he was ready for.  Running a restaurant is a complicated business.  Glad to read that he is progressing again.  But let's not buy into the idea that only white men are given privileged places in the pantheon of great chefs.  There are certainly many Asians."
1342,"One of the problems in our American political system (at least federally) is that smaller parties have no voice and find it pretty much impossible to gain any kind of power whatsoever.  One of the problems in Israel's political system seems to be that smaller parties, often with far-from-mainstream ideas and policy agendas, sometimes can wield undue power beyond their numbers.    Democracy -- there is no perfect way to do it, but of all the other known choices, it's the only way to do it."
1343,"I have been to Israel many times and I am familiar with the situation there.

Netanyahu is the *best* candidate for the Israelis given their very difficult situation caused by the Palestinians, in 2006, electing Hamas to lead them.  Hamas, according to the EU, US, and Israel a terrorist organization, does not recognize Israel and thus there cannot possible be any talks of given the Palestinians their own country 70 years after they first turned it down.

After the 2006 election, a civil war ensured between Hamas and Fatah with many, many deaths.

There were supposed to be elections in 2010, nearly a decade ago, but they have not occurred.  To this day, Hamas and Fatah do not get along.

Hamas, instead of helping their own people, have used concrete and  funds intended for constructing homes for building tunnels and for purchasing missiles to shoot into Israel.

As a result of the missiles and the tunnels into Israel, 3 wars between Hamas/Gaza and Israel have ensued with many deaths.

Netanyahu has been working with Fatah (which still governs the West Bank) to help to improve the economy there.

It would be wonderful if the Arab Parties in Israel insisted on new elections among the Palestinians, encouraging them to elect a government that recognizes Israel, but they have not done that.  They could also criticize Palestinian leadership who make unreasonable demands such as not allowing Israel to maintain troops in the Jordan Valley for protection."
1344,"The author goes back in time to cite political precedent -- the ""good old days"" as it were -- but the fact remains that with their bus bombings in the mid-1990s inside Israel, the Palestinians themselves have accomplished what no Israeli leader could:  the disappearance inside Israel of a Jewish Israeli constituency for the Palestinians.  

There is no traditional left in Israel, as there was before the 1987 intifadah, when Palestinians used to visit the Tel Aviv beaches on the weekends.  It is now up to the Palestinians to convince Israeli voters that they want to coexist peacefully.  Certainly Mr. Abbas has done nothing to help. 

As for the prospect of Mr. Netanyahu inviting into his coalition the new extremist party:  If one examines very carefully Netanyahu's record over the last 23 years, one will see that he has managed to contain what outside observers regard as Israeli ""extremism"" by co-opting those parties that the West finds noxious.  Two quick examples come to mind: his administration's support at times over the years for court challenges against the creation of new, non-contiguous settlements in the West Bank, and the absence, thus far, of legislation ""annexing"" the West Bank to Israel.    

In short, Netanyahu's ""embrace"" of a small extremist party does not translate into wholesale changes in government policy, for the simple reason that the vast majority of Israelis are reasonably conservative."
1345,Netanyahu is an extremist. What do you call someone even further to the right?
1346,"Netanyahou is a corrput world class clown and his right wing Likud party and religious fanatics are as dangerous as any Islamic Terrorist.

The United States is on the wrong side of justice and history by continuing to subsidize Israel. Until the Israelies throw Netanyahou in jail and stop letting religious whack jobs dictate the policies of the country, Israel is doomed for destruction."
1347,"A note to the Author: When colonialist show up in your country and take over your country they will never trust you as you are the indigenous. You are what they want and you are what they can never be; Especially when they can still see and feel the day they're grated what is not theirs. They have displaced you and will not deal with you as an equal. For example the behavior of the founders of the USA towards the Native Americans, the founders of Canada vs. the Native population of Canada, the Australians vs, the Native Australians, the New Zealanders vs the Native New Zealanders, White South Africans, South Americans vs Native Populations. Europeans wherever they have gone to colonize have never had treaties or even equitable treaties with the Native populations. The European Founding Colonialists and Occupiers never migrate to integrate with the local population but instead to move to install a European Colony which economically ties back to the motherland or motherlands. It will take at least another 100 -200 years to get the situation normalized (whatever that may look like)"
1348,Trump  represents the people of the US and Netanyahu Israel.  Both I would argue are bad hombres.  Trump is/was a one term leader.  Netanyahu  get elected continuously so shame on the people of Israel.
1349,"Shameful to allow anyone advocating ethnic cleansing, of any kind, to hold any public office in Israel or anywhere else.  That includes in Gaza or the Palestinian Territories or any future Palestinian State.  

It is a travesty that people on America's Left don't condemn Palestinian calls or plans for or attempts at ethnic cleansing.  (I do not hear such a call in the author's piece, nor do I know of Arab members of the Knesset who do.)

That said, Christians living in Israel and Palestinian areas might remember to turn the other cheek and similar of Jesus' teachings; Muslims in Israel and Palestinian areas might remember that Allah inscribed it that at least parts of those areas ""are for the Jews;"" and that Allah made us all different so that we could know one another, not so we could hate one another; and Jews in Israel and the relative few in settlements or in the holy-to-Jews small cities of Shechem (aka Nablus) and Hebron might remember that they were once strangers...   And all 3 religions have similar versions of the Golden Rule, which should also determine how people of non-Abrahamic faiths living among you ought be treated. 

And to the religious monotheists among you, remember: there is One, whatever you call the One, it's the same One.  Honor that."
1350,"Believe it or not Rabbi Kahane's real target were Jews who he thought were getting a little too complacent in the post-Holocaust era.  Nothing provoked Kahane more  than Jewish laziness in not recognizing Jews  were still in danger from a hostile world which was disappointed that Hitler didn't ""finish the job."".  The establishment of Israel did nothing but provoke more  gentile anger. The ugly incident in Congress this week only proved Kahane was right.  Established Democratic leaders couldn't appease Ilhan Omar fast enough.  Meet the new face of the Democratic party.  If Ilhan Omar doesn't make Jews wake up nothing will."
1351,"The Israeli election commission is also now in the process of banning Muslim candidates, entire parties. They mean to wipe out that element of the elective body.

It has existed for many years, even though marginalized in that nobody will accept them in any coalition nor in any government. Still, they were there. Now they are being driven out.

That is at least as consequential as running such overt racists to fill their seat."
1352,"""The April 9 election is an opportunity for the left to present a moral alternative and take a stand for democracy.""

I agree.

When do you think the same might be stated for the Hamas government which rules half the Palestinians in Gaza and

When do you think the same might be state for the other half of the Palestinians ruled by Fatah, from Ramallah?"
1353,"Bibi mirrors Trump in his consistency.  In the 1980's, when he held a mid-level diplomatic position, he called for the Palestinians to be caged, separated from the Jews.  One can understand some racist feelings after the Holocaust, but leadership has responsibility to what is best for the nation, today and the future.  Israel is better by having Palestinians within its border, it gives a perspective that must be considered if there is to be anything but perpetual war.  Good luck to Mr. Odeh and may the electorate return to its senses in the coming election."
1354,"As a left wing Zionist I agree and find this article inspiring. The party I support, Merez, should support this.  

However I believe this concept would work that much better if it  included a platform advocating a Three State solution: Israel, Palestine, and Greater Jerusalem. Greater Jerusalem would comprise all the citizens  ( Moslems  and Jews) who prefer religious government to Democractic government. 

Both the religions have much more in common with each other than they have with a secular population - and the secular populations have more in common with each other than they have with their religious wings."
1355,"Israel seemed to work reasonably well when the Labor Party was in control. I think from a liberal American perspective it has been all downhill since the Likud Party has taken over. If people who are followers of Kahane become part of the majority coalition then that takes right wing extremism in Israeli politics to a new level. It has been reported that Donald Trump is popular among Jewish Israeli citizens. If that isn't a head scratcher. I think if somehow the left in Israel could get back on track there might be a decent chance for a peace agreement and the two-state solution. The last thing Israel needs is people in government supporting ethnic cleansing. I hope Israel moves to the left, takes down that wall, stops building any more settlements in the West Bank and East Jerusalem, and somehow finds a partner on the Palestinian side to negotiate with to end this tragic conflict."
1356,"Big surprise: Netanyahu puts Netanyahu above all else, not just everybody else!!"
1357,"Netanyahu is a thug, much like Trump and MBS. Israel needs new leadership. Now."
1358,So why isn't this article labeled anti semitic ? Tom Friedman care to chime in?
1359,So sad and yet boring to read the same blind support for Israel. I?m not at all surprised that not one of these comments talks about US interests which are not synonymous with Israel?s.  The Palestinians blew it and we knew at the time it would take a generation to get a peace process moving again.  That time has not yet come. It will but not before Netanyahu is a memory.
1360,"It's becoming clearer that Israel will never consent to political union with the Palestinians, or the existence of an independent Palestinian state with true Sovereignty. Thus, I think the Palestinians best hope is just to survive and reproduce at a faster rate than the Jews. The area between the River and the Sea now is populated by about 50% Jews and 50% Palestinians--although some demographers claim the Palestinians already constitute the majority. In a century, Jewish Israelis will be a minority on the brink of a new diaspora or inferior citizenship. And climate change will radically diminish the value of land in the southern Levant."
1361,"Extremism on the part of either Arabs or Israelis is harmful.  I remember Kahane. He advocated what amounted to terrorism. 

On my last trip to Israel, I was blessed to meet a  number of Arab-Israelis.  They were rightly proud of their place in their country. All asked me why we would tolerate Trump as a candidate. I can only imagine their dismay when he became president; my own dismay was huge and still is.  

Sensible people who want to compromise can do so.  I encourage that approach in both America and Israel."
1362,"To the esteemed author:

Your phrasing of your national identity is new to me.  Could you shed some light on how and why you choose to describe yourself and others as a ""Palestinian Arab citizen of Israel"" and not, say, as a ""Palestinian-Arab-Israeli"" or an ""Arab Israeli"" or an ""Israeli Arab of Palestinian heritage"" or a number of other possible combinations of the three central aspects of your national/political identity?

This is a sincere question asked in respect by someone who has pondered how to describe myself (other than as a curious person who is Jewish) and is interested in how others come to know and describe themselves."
1363,"Congress just passed a bill condemning hate in supposedly all forms. Numerous Republicans voted against it, wondering, I suppose, ""Is this some kind of trick?"" What I wonder is if this resolution is construed to include Semitic nationalism."
1364,"Netanyahu not an extremist? Isn't Kahane the definition of a Jewish supremacist? Is being against these extremists anti-Semitic too?

It's clear for every Arab dedicated to the destruction of Israel there are, Jews dedicated to the destruction of Palestine. The difference is that Israel has been actively destroying and demolishing Palestine out of existence, contrary to international law.  Indefinite occupation? No, just a long one, hoping the international community will not notice the disappearance as they demolish entire communities. Perhaps if one can't exist, neither should exist. Is that anti-Zionistic or just plain fair?

If right-wing members in the Knesset walked out on Kahane, real Republicans should walk out on trump's SOTU. But it's different today. The right's gone off the edge of extremism, becoming anti-Constitutional (stealing SCOTUS seats, the presidency and votes in NC, GA, etc). Likud's no different now.

It is about power AND the Benjamins. How to explain the affinity between Netanyahu and trump (who calls neo-Nazis fine people) and Orban. The West Bank is real estate - theirs for the taking as they please. Trump's doing the same on the north bank of Rio Grande - stealing land for HIS wall. Corrupt racists of a feather flock together.

""shared Jewish-Arab struggle for peace, equality and democracy."" It's hard to believe that this isn't the overwhelming majority in Israel. Then one would think a majority of voters in our country would've elected our leader."
1365,"""In the 1990s, support from parties representing Palestinian Arab citizens of Israel saved the government of Prime Minister Yitzhak Rabin from collapse. While they didn?t officially join the coalition, two Arab and Arab-Jewish parties created an outside bloc that allowed Rabin to remain prime minister in exchange for an unprecedented role in policymaking. This was one of the most effective periods in the history of Arab parties in the Knesset.""

So in the most effective period in the history of Arab parties in the Knesset, these parties did not join the coalition with other moderate Jewish Israeli parties.  What would you expect now in the least effective period and how would you make it better?  My recommendations to you are to try harder and make some new pronouncements to encourage your brethren in Gaza and the occupied areas to make concessions and peace!  Why not start by publicly saying you are willing to accept the offer presented by Rabin and Barak with some minor specified changes."
1366,"""Parties representing Palestinian citizens of Israel played an important role at a time when the government was negotiating Israel?s recognition of the Palestine Liberation Organization in return for Palestinian recognition of the existence of the State of Israel, signing the Oslo accords and exiting Gaza and Jericho.""

If Arafat had truly wanted peace with Israel, he would have signed on at Camp David and Netanyahu wouldn't be an issue. Instead, he wanted the destruction of Israel. Ironically, by allowing right-wing extremists govern, Netanyahu may be giving Arafat what he wanted."
1367,"Biological men are not women. They can have elective surgery, they can take hormones, they can grow breasts, they can remove their genitals, but they are not women. And biological men do not belong in women's changing rooms, women's clinics, women's prisons, and women's sports."
1368,"It's worth mentioning, again, that it is not possible to change one's sex. We are a sexually dimorphic species. Some humans create small motile gametes and others large immotile gametes.   We call those who produce small gametes male and large gametes female. We could call them peach pies and skateboards but it would still take one of each to reproduce. No amount of surgery, hormones, sparkly dresses, or short hair can change the kinds of gametes our sexed bodies produce. 

Gender is behavior, specifically a hierarchy of behaviors in which some are ranked as superior and called masculine, and others are ranked inferior and called feminine. Radical feminists want to abolish gender because we believe that there are no behaviors that are limited to one sex or the other. Wearing a dress doesn't make a boy a girl, and wearing trousers doesn't make a girl a boy. No surgery is required to change behavior, just the will to do so. 

Trans Rights Activists conflate the words sex and gender because they know that sex can't be changed, and they want to con people in believing it can. They especially want to con vulnerable young people into thinking their unhappiness their bodies has to do with some mystical girl brain in a boy body that can be solved by mutilating surgery and life time of taking hormones. We need to support gender non-conforming children by assuring them that they are fine just the way they are, that their bodies are fine just the way they are."
1369,"By all means, if you identify with stereotypical characteristics of the opposite gender, then live that freely, however when transwomen begin to encroach on the rights of my female patients, who are in need of a safe space, far from male bodies, this presents a problem in the care and rights of the women I tend to. 95% of the transwomen coming into the womens shelter have  recently been released from prison - and ALL have assault charges, more often than not against women. 
 The women I care for in the homeless women's shelter are victims of rape and domestic violence  enacted on to them by men, with strong male bodies who have preyed on these women and traumatized these women.  My patients and their needs  to feel safe are secondary to  the ""rights"" of transwomen.  I have never however seen a transman insist on staying in a male shelter- because of the obvious inherent danger.
Men still run the show.  Women's most basic needs for safety still appears to be secondary to whims of men."
1370,"Looks like the Democrats have the transgender vote 'locked up'.
They only need about 49.9% more of the electorate to win.
Or am I missing something here?"
1371,"There is NO moral ethical or rational reason to deny equalty to anyone based on proclivities which are harmless and unenforced on others.

Faith based hate is a hate crime founded in ignorance and pathology.

No metaphysical or philosophical blathering apllies here!

None!"
1372,This is a lazy article that misses the more important issue that?s happening right now: the conflict btw the transgender and gay communities over perceived slights btw the two groups. It is the beginning or the end for identity politics crowd - they are eating their own. Good riddance
1373,"Let me be clear on this when you make DEMANDS that others bend to your way, you are the authoritarian.  When you force girls to allow biological males into their sports you are the authoritarian.  When you force women to accept biological males in their bathrooms you are the authoritarian.  When you crate laws punishing those who misgender, you are the authoritarian. When you force taxpayers to pay for sex transition surgery, you are the authoritarian."
